"","year","rgb","count"
"1",1965,"0020A0",1
"2",1978,"0020A0",19
"3",1979,"0020A0",33
"4",1980,"0020A0",18
"5",1981,"0020A0",37
"6",1982,"0020A0",8
"7",1983,"0020A0",26
"8",1984,"0020A0",8
"9",1985,"0020A0",30
"10",1986,"0020A0",38
"11",1987,"0020A0",55
"12",1988,"0020A0",96
"13",1989,"0020A0",38
"14",1990,"0020A0",53
"15",1991,"0020A0",80
"16",1992,"0020A0",87
"17",1993,"0020A0",47
"18",1994,"0020A0",152
"19",1995,"0020A0",110
"20",1996,"0020A0",102
"21",1997,"0020A0",50
"22",1998,"0020A0",131
"23",1999,"0020A0",191
"24",2000,"0020A0",99
"25",2001,"0020A0",93
"26",2002,"0020A0",129
"27",2003,"0020A0",324
"28",2004,"0020A0",361
"29",2005,"0020A0",729
"30",2006,"0020A0",337
"31",2007,"0020A0",647
"32",2008,"0020A0",353
"33",2009,"0020A0",373
"34",2010,"0020A0",342
"35",2011,"0020A0",392
"36",2012,"0020A0",294
"37",2013,"0020A0",676
"38",2014,"0020A0",461
"39",2015,"0020A0",496
"40",2016,"0020A0",572
"41",2017,"0020A0",399
"42",2018,"0020A0",290
"43",2019,"0020A0",321
"44",2020,"0020A0",269
"45",2021,"0020A0",90
"46",1963,"0033B2",6
"47",2004,"0033B2",7
"48",1949,"0055BF",96
"49",1950,"0055BF",10
"50",1953,"0055BF",1
"51",1954,"0055BF",13
"52",1955,"0055BF",187
"53",1956,"0055BF",6
"54",1957,"0055BF",64
"55",1958,"0055BF",277
"56",1959,"0055BF",23
"57",1960,"0055BF",50
"58",1961,"0055BF",121
"59",1962,"0055BF",376
"60",1963,"0055BF",141
"61",1964,"0055BF",243
"62",1965,"0055BF",139
"63",1966,"0055BF",998
"64",1967,"0055BF",605
"65",1968,"0055BF",394
"66",1969,"0055BF",936
"67",1970,"0055BF",306
"68",1971,"0055BF",407
"69",1972,"0055BF",785
"70",1973,"0055BF",1115
"71",1974,"0055BF",553
"72",1975,"0055BF",937
"73",1976,"0055BF",1714
"74",1977,"0055BF",1292
"75",1978,"0055BF",798
"76",1979,"0055BF",1561
"77",1980,"0055BF",1484
"78",1981,"0055BF",728
"79",1982,"0055BF",666
"80",1983,"0055BF",648
"81",1984,"0055BF",1031
"82",1985,"0055BF",2295
"83",1986,"0055BF",1526
"84",1987,"0055BF",1539
"85",1988,"0055BF",538
"86",1989,"0055BF",1285
"87",1990,"0055BF",1630
"88",1991,"0055BF",1215
"89",1992,"0055BF",791
"90",1993,"0055BF",1165
"91",1994,"0055BF",1045
"92",1995,"0055BF",2583
"93",1996,"0055BF",2458
"94",1997,"0055BF",2237
"95",1998,"0055BF",5563
"96",1999,"0055BF",3009
"97",2000,"0055BF",2363
"98",2001,"0055BF",2310
"99",2002,"0055BF",2979
"100",2003,"0055BF",3717
"101",2004,"0055BF",4408
"102",2005,"0055BF",4100
"103",2006,"0055BF",5464
"104",2007,"0055BF",3971
"105",2008,"0055BF",5066
"106",2009,"0055BF",5287
"107",2010,"0055BF",5973
"108",2011,"0055BF",3894
"109",2012,"0055BF",4320
"110",2013,"0055BF",5354
"111",2014,"0055BF",6076
"112",2015,"0055BF",6579
"113",2016,"0055BF",7527
"114",2017,"0055BF",6786
"115",2018,"0055BF",6402
"116",2019,"0055BF",7114
"117",2020,"0055BF",7043
"118",2021,"0055BF",1656
"119",1998,"008F9B",458
"120",1999,"008F9B",216
"121",2000,"008F9B",102
"122",2001,"008F9B",83
"123",2002,"008F9B",64
"124",2003,"008F9B",34
"125",2004,"008F9B",35
"126",2005,"008F9B",12
"127",2018,"008F9B",516
"128",2019,"008F9B",742
"129",2020,"008F9B",1549
"130",2021,"008F9B",349
"131",1949,"039CBD",24
"132",1955,"05131D",1
"133",1956,"05131D",7
"134",1957,"05131D",28
"135",1958,"05131D",201
"136",1959,"05131D",1
"137",1960,"05131D",21
"138",1961,"05131D",16
"139",1962,"05131D",364
"140",1963,"05131D",163
"141",1964,"05131D",208
"142",1965,"05131D",169
"143",1966,"05131D",262
"144",1967,"05131D",478
"145",1968,"05131D",681
"146",1969,"05131D",920
"147",1970,"05131D",542
"148",1971,"05131D",600
"149",1972,"05131D",675
"150",1973,"05131D",998
"151",1974,"05131D",843
"152",1975,"05131D",1136
"153",1976,"05131D",2571
"154",1977,"05131D",1777
"155",1978,"05131D",2765
"156",1979,"05131D",1529
"157",1980,"05131D",3127
"158",1981,"05131D",1684
"159",1982,"05131D",1154
"160",1983,"05131D",1673
"161",1984,"05131D",1851
"162",1985,"05131D",3918
"163",1986,"05131D",3747
"164",1987,"05131D",3779
"165",1988,"05131D",3269
"166",1989,"05131D",4172
"167",1990,"05131D",4263
"168",1991,"05131D",5550
"169",1992,"05131D",3878
"170",1993,"05131D",4783
"171",1994,"05131D",5806
"172",1995,"05131D",5896
"173",1996,"05131D",8590
"174",1997,"05131D",7186
"175",1998,"05131D",11914
"176",1999,"05131D",8055
"177",2000,"05131D",8779
"178",2001,"05131D",10818
"179",2002,"05131D",15204
"180",2003,"05131D",16577
"181",2004,"05131D",10601
"182",2005,"05131D",16633
"183",2006,"05131D",20250
"184",2007,"05131D",16219
"185",2008,"05131D",17559
"186",2009,"05131D",17408
"187",2010,"05131D",17718
"188",2011,"05131D",17503
"189",2012,"05131D",16239
"190",2013,"05131D",22135
"191",2014,"05131D",24308
"192",2015,"05131D",27983
"193",2016,"05131D",28108
"194",2017,"05131D",30335
"195",2018,"05131D",29908
"196",2019,"05131D",31262
"197",2020,"05131D",39653
"198",2021,"05131D",7575
"199",2011,"078BC9",8
"200",2012,"078BC9",19
"201",2013,"078BC9",311
"202",2014,"078BC9",143
"203",2015,"078BC9",122
"204",2016,"078BC9",846
"205",2017,"078BC9",556
"206",2018,"078BC9",1211
"207",2019,"078BC9",961
"208",2020,"078BC9",1023
"209",2021,"078BC9",480
"210",1997,"0A3463",3
"211",1998,"0A3463",3
"212",1999,"0A3463",3
"213",2001,"0A3463",7
"214",2002,"0A3463",38
"215",2003,"0A3463",215
"216",2004,"0A3463",324
"217",2005,"0A3463",1182
"218",2006,"0A3463",242
"219",2007,"0A3463",808
"220",2008,"0A3463",1508
"221",2009,"0A3463",857
"222",2010,"0A3463",592
"223",2011,"0A3463",492
"224",2012,"0A3463",685
"225",2013,"0A3463",789
"226",2014,"0A3463",688
"227",2015,"0A3463",1943
"228",2016,"0A3463",1231
"229",2017,"0A3463",2113
"230",2018,"0A3463",2604
"231",2019,"0A3463",3388
"232",2020,"0A3463",3112
"233",2021,"0A3463",898
"234",1999,"184632",2
"235",2004,"184632",166
"236",2005,"184632",193
"237",2006,"184632",265
"238",2007,"184632",118
"239",2008,"184632",541
"240",2009,"184632",468
"241",2010,"184632",462
"242",2011,"184632",539
"243",2012,"184632",992
"244",2013,"184632",768
"245",2014,"184632",711
"246",2015,"184632",985
"247",2016,"184632",568
"248",2017,"184632",1060
"249",2018,"184632",1237
"250",2019,"184632",1110
"251",2020,"184632",961
"252",2021,"184632",282
"253",1949,"1E601E",32
"254",2004,"2032B0",3
"255",2005,"2032B0",4
"256",2006,"2032B0",1
"257",1949,"237841",142
"258",1950,"237841",9
"259",1953,"237841",13
"260",1954,"237841",4
"261",1955,"237841",6
"262",1957,"237841",4
"263",1958,"237841",8
"264",1960,"237841",2
"265",1961,"237841",10
"266",1962,"237841",184
"267",1963,"237841",3
"268",1964,"237841",8
"269",1966,"237841",45
"270",1967,"237841",36
"271",1968,"237841",13
"272",1969,"237841",32
"273",1970,"237841",130
"274",1971,"237841",102
"275",1972,"237841",16
"276",1973,"237841",56
"277",1974,"237841",13
"278",1975,"237841",33
"279",1976,"237841",77
"280",1977,"237841",47
"281",1978,"237841",104
"282",1979,"237841",86
"283",1980,"237841",87
"284",1981,"237841",131
"285",1982,"237841",61
"286",1983,"237841",61
"287",1984,"237841",74
"288",1985,"237841",259
"289",1986,"237841",178
"290",1987,"237841",218
"291",1988,"237841",148
"292",1989,"237841",244
"293",1990,"237841",265
"294",1991,"237841",265
