"","year","x"
"1",1949,5
"2",1950,6
"3",1953,4
"4",1954,14
"5",1955,28
"6",1956,13
"7",1957,20
"8",1958,46
"9",1959,4
"10",1960,3
"11",1961,22
"12",1962,41
"13",1963,21
"14",1964,18
"15",1965,13
"16",1966,111
"17",1967,28
"18",1968,39
"19",1969,81
"20",1970,37
"21",1971,51
"22",1972,39
"23",1973,71
"24",1974,39
"25",1975,39
"26",1976,76
"27",1977,99
"28",1978,78
"29",1979,92
"30",1980,102
"31",1981,84
"32",1982,84
"33",1983,73
"34",1984,95
"35",1985,169
"36",1986,159
"37",1987,234
"38",1988,80
"39",1989,134
"40",1990,108
"41",1991,148
"42",1992,135
"43",1993,137
"44",1994,164
"45",1995,175
"46",1996,198
"47",1997,255
"48",1998,381
"49",1999,341
"50",2000,370
"51",2001,385
"52",2002,505
"53",2003,442
"54",2004,402
"55",2005,353
"56",2006,329
"57",2007,322
"58",2008,346
"59",2009,433
"60",2010,454
"61",2011,528
"62",2012,613
"63",2013,619
"64",2014,691
"65",2015,776
"66",2016,770
"67",2017,790
"68",2018,816
"69",2019,865
"70",2020,816
"71",2021,221
